Symbol,Source,Avg Losing Trade [%],Avg Winning Trade [%],Best Trade [%],Calmar Ratio,End Value,Expectancy,Max Drawdown [%],Omega Ratio,Open Trade PnL,Profit Factor,Sharpe Ratio,Sortino Ratio,Total Closed Trades,Total Fees Paid,Total Open Trades,Total Return [%],Total Trades,Win Rate [%],Worst Trade [%]
HBLENGINE,File 1 (vectorbt),-13.304292,29.800851,31.960983,-0.132171,29898.408317,-5007.256549,71.5043,0.74092,,0.273004,-0.492606,-0.654856,,1445.900975,,-70.101592,,14.285714,-26.013071
HBLENGINE,File 2 (custom),-12.275544,33.780407,41.968955,-0.056873,54539.259464,-3247.195753,59.485413,0.892526,,0.523323,-0.164097,-0.066677,,850.433753,,-45.460741,,21.428571,-20.185651
MASTEK,File 1 (vectorbt),-13.0104,36.274747,41.124039,-0.020497,83709.413637,-1163.613312,48.719937,1.004426,,0.865954,0.00635,0.009615,,2528.204987,,-16.290586,,,-26.563011
MASTEK,File 2 (custom),-12.348048,34.412801,39.294915,-0.012771,83731.438504,-1162.040107,53.987867,1.00501,,0.858812,0.006293,0.002367,,1242.180396,,-16.268561,,,-23.650641
KIRLOSIND,File 1 (vectorbt),-9.012947,30.810208,44.066887,0.281232,214700.798416,10427.345311,28.509591,1.239312,,2.329419,0.523739,0.926268,,3469.517953,,114.700798,,45.454545,-12.311385
KIRLOSIND,File 2 (custom),-8.759399,31.311701,43.628117,0.094499,150573.096021,4597.554184,30.617687,1.143447,,1.582327,0.277898,0.197687,,1477.951817,,50.573096,,36.363636,-12.127298
CERA,File 1 (vectorbt),-8.280286,24.15019,25.856526,0.102941,129429.806986,2675.436999,22.093292,1.123188,,1.368687,0.255821,0.397088,,2886.617333,,29.429807,,,-12.441182
CERA,File 2 (custom),-8.069205,24.034243,25.362584,0.068797,128204.997566,2564.090688,21.899756,1.120152,,1.358659,0.207265,0.107979,,1441.831907,,28.204998,,,-12.059042
UPL,File 1 (vectorbt),-9.118113,22.871577,28.363838,0.025897,115300.298195,1390.9362,44.491795,1.095971,,1.24331,0.161388,0.232861,11.0,2155.88547,,15.300298,11.0,36.363636,-19.477331
UPL,File 2 (custom),-8.613237,21.781219,27.755897,-0.009426,93396.570707,-660.342929,40.185998,0.991361,,0.883065,-0.011492,-0.003959,10.0,876.538707,,-6.603429,10.0,30.0,-17.45121
INDIANCARD,File 1 (vectorbt),-11.445249,35.005706,43.188102,0.059029,156338.083486,3314.004911,45.694272,1.120462,,1.225853,0.230476,0.382775,,6151.470098,,56.338083,,35.294118,-17.746181
INDIANCARD,File 2 (custom),-10.797665,33.196259,41.52558,-0.040957,45830.658357,-3186.431861,77.094409,0.927768,,0.675935,-0.121377,-0.062504,,1762.458733,,-54.169342,,17.647059,-15.71406
AMBIKCO,File 1 (vectorbt),-8.908651,29.976921,57.957484,0.442563,246271.760119,16252.417791,18.757671,1.513053,,2.873702,0.638586,1.271095,,3544.053895,,146.27176,,,-12.975553
AMBIKCO,File 2 (custom),-8.210826,30.726311,60.556378,0.331267,256077.558006,17341.95089,17.848578,1.568775,,3.042982,0.55351,0.273412,,1905.335712,,156.077558,,,-11.318388
ARE&M,File 1 (vectorbt),-10.540797,25.415624,40.748986,0.130992,244952.336236,7629.070328,40.777098,1.221701,,1.85391,0.42967,0.693859,,6468.671468,,144.952336,,,-21.194542
ARE&M,File 2 (custom),-9.810469,25.640497,39.922666,0.103669,260556.450128,8450.33948,37.764728,1.286084,,1.801559,0.392715,0.180358,,3834.106886,,160.55645,,,-18.152779
JCHAC,File 1 (vectorbt),-11.333695,28.842747,37.687399,-0.057021,70326.895542,-2472.758705,49.010839,0.982091,,0.618952,-0.045388,-0.070351,,1662.165042,,-29.673104,,25.0,-28.344276
JCHAC,File 2 (custom),-11.142278,25.970169,37.00462,-0.009951,92719.56945,-606.702546,42.140609,1.024433,,0.909063,0.056466,0.042762,,972.607971,,-7.280431,,33.333333,-27.583778
SHREECEM,File 1 (vectorbt),-8.417925,39.314691,60.615348,0.114252,244408.477761,8022.693209,47.691764,1.148779,,1.456976,0.359353,0.569885,18.0,9954.789857,,144.408478,18.0,33.333333,-16.267832
SHREECEM,File 2 (custom),-7.982229,39.483546,56.023522,0.029535,156370.109091,2966.847847,62.614155,1.094141,,1.206817,0.193191,0.119163,19.0,3942.172083,,56.370109,19.0,26.315789,-14.472569
SUPRAJIT,File 1 (vectorbt),-11.670101,30.386268,48.907748,0.133496,232082.200986,8805.480066,48.915536,,,1.691289,0.445391,0.734318,,5698.062758,,132.082201,,,-18.50348
