symbol,status,load_time_s,indicator_calc_time_s,signal_gen_time_s,portfolio_sim_time_s,total_symbol_time_s,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Trades,Total Closed Trades,Total Open Trades,Open Trade PnL,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio
AKG,Success,0.0029458999997586943,0.00016059999961726135,0.000628599999799917,2.8700000257231295e-05,0.00580549999995128,2021-02-16 09:15:00,2025-06-26 09:15:00,1591 days 00:00:00,100000.0,179441.187455,79.441187,-67.804202,100.0,556.042125,22.105206,552 days 00:00:00,3,3,0,0.0,66.666667,55.213032,-21.326932,51.528673,-21.326932,36 days 00:00:00,82 days 00:00:00,2.618014,26480.395818,0.774617,0.660586,1.67653,0.700681
AKI,Success,0.002302399999280169,0.0001571000002513756,0.0006610999998883926,2.970000059576705e-05,0.004529200000433775,2023-04-06 09:15:00,2025-06-26 09:15:00,812 days 00:00:00,100000.0,92883.920362,-7.11608,-51.668728,100.0,92.965413,8.745229,497 days 00:00:00,1,1,0,0.0,0.0,-6.930944,-6.930944,0.0,-6.930944,0 days 00:00:00,12 days 00:00:00,0.0,-7116.079638,-0.785366,-0.378935,0.385519,-0.17212
AKSHAR,Success,0.0027798999999504304,0.0001556999995955266,0.00040100000023812754,2.7999999474559445e-05,0.004276199999367236,2022-05-23 09:15:00,2025-06-26 09:15:00,1130 days 00:00:00,100000.0,100000.0,0.0,-87.042455,100.0,0.0,0.0,,0,0,0,0.0,,,,,,,,,,,,,
AKSHARCHEM,Success,0.004080299999259296,0.00017769999976735562,0.0004414000004544505,3.199999991920777e-05,0.006255300000702846,2017-03-28 09:15:00,2025-06-26 09:15:00,3012 days 00:00:00,100000.0,131688.758767,31.688759,-64.806861,100.0,224.578287,10.925604,34 days 00:00:00,2,2,0,0.0,50.0,41.097617,-6.284775,41.097617,-6.284775,42 days 00:00:00,3 days 00:00:00,5.931618,15844.379384,0.432611,0.315955,2.314329,0.255587
AKSHOPTFBR,Success,0.009007000000565313,0.0002674000006663846,0.0005246999999144464,4.1599999349273276e-05,0.01185280000026978,2000-08-23 09:15:00,2025-06-26 09:15:00,9073 days 00:00:00,100000.0,18149.724666,-81.850275,-86.0,100.0,471.433882,83.491005,8938 days 00:00:00,11,11,0,0.0,0.0,-10.110944,-19.103195,0.0,-14.159134,0 days 00:00:00,49 days 21:49:05,0.0,-7440.934121,-0.557863,-0.083676,0.690723,-0.227497
AKUMS,Success,0.0023461000000679633,0.00014459999965765746,0.00041000000055646524,2.8299999939918052e-05,0.003792700000303739,2024-08-06 09:15:00,2025-06-26 09:15:00,324 days 00:00:00,100000.0,100000.0,0.0,-26.794349,100.0,0.0,0.0,,0,0,0,0.0,,,,,,,,,,,,,
AKZOINDIA,Success,0.0072314000008191215,0.00020119999953749357,0.00043479999931150815,3.6299999919719994e-05,0.00976150000042253,2010-05-27 09:15:00,2025-06-26 09:15:00,5509 days 00:00:00,100000.0,153414.717474,53.414717,443.970673,100.0,750.491377,31.186088,851 days 00:00:00,6,6,0,0.0,50.0,48.979207,-10.565049,26.52636,-7.674543,432 days 08:00:00,69 days 16:00:00,2.680869,8902.452912,0.287911,0.09394,1.103948,0.246329
ALANKIT,Success,0.004495399999541405,0.00019239999983255984,0.0005836999998791725,3.820000074483687e-05,0.007016699999439879,2015-06-30 09:15:00,2025-06-26 09:15:00,3649 days 00:00:00,100000.0,50265.056368,-49.734944,28.75,100.0,572.562264,58.87504,3172 days 00:00:00,8,8,0,0.0,12.5,26.890441,-18.9719,26.890441,-12.102287,54 days 00:00:00,44 days 03:25:42,0.271912,-6216.867954,-0.321584,-0.114933,0.835058,-0.15327
ALBERTDAVD,Success,0.004132299999582756,0.00019749999955820385,0.00046130000009725336,3.370000013092067e-05,0.006319199999779812,2016-06-14 09:15:00,2025-06-26 09:15:00,3299 days 00:00:00,100000.0,146035.498651,46.035499,169.91193,100.0,825.926525,25.157814,1856 days 00:00:00,6,6,0,0.0,50.0,39.98563,-17.58547,27.966464,-10.63508,107 days 16:00:00,22 days 16:00:00,1.987354,7672.583109,0.389713,0.173154,1.22374,0.235303
ALEMBICLTD,Success,0.009945100000550156,0.00029100000028847717,0.0004934000007779105,4.0800000533636194e-05,0.012662000000091211,1995-01-04 09:15:00,2025-06-26 09:15:00,11131 days 00:00:00,100000.0,100240.242079,0.240242,2757.19483,100.0,2147.97228,69.438208,7751 days 00:00:00,17,17,0,0.0,29.411765,49.807004,-17.021026,35.780334,-11.606623,70 days 14:23:59,37 days 06:00:00,1.001247,14.131887,0.060741,0.00012,1.039637,0.026372
